"customer","sale_date","concat"
Willie Gao,1992-10-19,Michael O'Leary
Mario Rai,1992-09-28,Abraham Bennet
Olivia Bennett,1992-10-03,Michael O'Leary
Jared Gray,1992-12-11,Dirk Stringer
Willie Gao,1992-11-11,Michael O'Leary
Mario Rai,1992-12-01,Abraham Bennet
Olivia Bennett,1992-11-28,Michael O'Leary
Jared Gray,1992-10-10,Dirk Stringer
Willie Gao,1992-12-06,Michael O'Leary
Mario Rai,1992-09-23,Abraham Bennet
Olivia Bennett,1992-11-14,Michael O'Leary
Jared Gray,1992-10-16,Dirk Stringer
Willie Gao,1992-10-19,Michael O'Leary
Krista Gill,1992-12-12,Marjorie Green
Olivia Bennett,1992-11-10,Reginald Blotchet-Halls
Jared Gray,1992-10-13,Dirk Stringer
Willie Gao,1992-10-24,Michael O'Leary
Mario Rai,1992-11-05,Abraham Bennet
Olivia Bennett,1992-10-01,Michael O'Leary
Willie Gao,1992-10-31,Michael O'Leary
Mario Rai,1992-12-27,Abraham Bennet
Olivia Bennett,1992-12-28,Michael O'Leary
Jared Gray,1992-11-10,Dirk Stringer
Willie Gao,1992-12-21,Michael O'Leary
Mario Rai,1992-11-20,Abraham Bennet
Olivia Bennett,1992-11-25,Michael O'Leary
Jared Gray,1992-11-11,Dirk Stringer
Willie Gao,1992-11-24,Michael O'Leary
Willie Gao,1992-09-28,Michael O'Leary
Mario Rai,1992-10-20,Abraham Bennet
Olivia Bennett,1992-12-22,Michael O'Leary
Krista Gill,1992-10-02,Marjorie Green
Krista Gill,1992-12-13,Marjorie Green
Jared Gray,1992-11-09,Dirk Stringer
Willie Gao,1992-11-25,Michael O'Leary
Mario Rai,1992-09-25,Abraham Bennet
Olivia Bennett,1992-10-29,Michael O'Leary
Jared Gray,1992-11-17,Dirk Stringer
Willie Gao,1992-11-19,Michael O'Leary
Mario Rai,1992-10-28,Abraham Bennet
Olivia Bennett,1992-12-26,Michael O'Leary
Jared Gray,1992-11-30,Dirk Stringer
Willie Gao,1992-12-27,Michael O'Leary
Mario Rai,1992-12-12,Abraham Bennet
Olivia Bennett,1992-10-06,Michael O'Leary
Jared Gray,1992-10-05,Dirk Stringer
Willie Gao,1992-10-11,Michael O'Leary
Mario Rai,1992-09-24,Abraham Bennet
Olivia Bennett,1992-12-27,Michael O'Leary
Jared Gray,1992-12-23,Dirk Stringer
Willie Gao,1992-10-10,Michael O'Leary
Krista Gill,1992-11-24,Marjorie Green
Willie Gao,1992-11-24,Michael O'Leary
Mario Rai,1992-10-01,Abraham Bennet
Olivia Bennett,1992-10-30,Michael O'Leary
Jared Gray,1992-10-17,Dirk Stringer
Willie Gao,1992-10-13,Michael O'Leary
Mario Rai,1992-11-06,Abraham Bennet
Olivia Bennett,1992-09-23,Michael O'Leary
Jared Gray,1992-10-06,Dirk Stringer
Willie Gao,1992-11-24,Michael O'Leary
Mario Rai,1992-12-08,Abraham Bennet
Olivia Bennett,1992-10-17,Michael O'Leary
Jared Gray,1992-12-23,Dirk Stringer
Olivia Bennett,1992-11-08,Michael O'Leary
Krista Gill,1992-10-30,Marjorie Green
Mario Rai,1992-11-14,Abraham Bennet
Willie Gao,1992-11-11,Michael O'Leary
Jared Gray,1992-12-25,Dirk Stringer
Olivia Bennett,1992-12-20,Michael O'Leary
Krista Gill,1992-11-17,Marjorie Green
Mario Rai,1992-10-28,Abraham Bennet
Willie Gao,1992-11-01,Michael O'Leary
Jared Gray,1992-11-10,Dirk Stringer
Olivia Bennett,1992-10-31,Michael O'Leary
Krista Gill,1992-11-26,Marjorie Green
Mario Rai,1992-10-03,Abraham Bennet
Willie Gao,1992-10-24,Michael O'Leary
Jared Gray,1992-11-21,Dirk Stringer
Olivia Bennett,1992-11-12,Michael O'Leary
Krista Gill,1992-12-13,Marjorie Green
Mario Rai,1992-10-06,Abraham Bennet
Willie Gao,1992-10-31,Michael O'Leary
Jared Gray,1992-12-02,Dirk Stringer
Olivia Bennett,1992-11-26,Michael O'Leary
Krista Gill,1992-10-11,Marjorie Green
Mario Rai,1992-10-22,Abraham Bennet
Willie Gao,1992-12-01,Michael O'Leary
Jared Gray,1992-11-06,Dirk Stringer
Olivia Bennett,1992-11-07,Michael O'Leary
Krista Gill,1992-12-17,Marjorie Green
